ts,sym,rule,side,trig,off,tp,sl,entry,exit,status,ret,fee,funding,hold_h,touched,recovered,pnl1x,pnl2x,queue_vol,f1,tbsi
2026-09-01 12:00:24,ETHFIUSDC,adapt_l,long,0.3710,0.3710,1.2368,0.7730,0.5666,0.5701,timeout,0.620,0.040,0.00051,0.82,1,1,0.5790,1.1580,6129.3750,1,
2026-09-01 12:03:45,CRVUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.3580,0.3562,tp,0.500,0.000,-0.00010,0.08,1,1,0.5001,1.0002,32205.3333,1,
2026-09-01 12:04:37,FILUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.6890,0.6925,stop,-0.500,0.040,0.00009,0.28,1,1,-0.5401,-1.0802,60320.0973,1,
2026-09-01 12:04:47,ARBUSDC,adapt_l,long,1.1606,1.1606,3.8685,2.4178,0.1113,0.1087,stop,-2.418,0.040,0.00038,0.31,1,1,-2.4582,-4.9164,159238.0941,1,
2026-09-01 12:04:48,ARBUSDC,deep_l,long,0.2000,0.5000,0.6000,0.5000,0.1104,0.1098,stop,-0.500,0.040,0.00002,0.02,1,1,-0.5400,-1.0800,159919.2059,1,
2026-09-01 12:04:48,ARBUSDC,mom_l,long,0.3000,1.0000,0.8000,0.5000,0.1106,0.1101,stop,-0.500,0.040,0.00002,0.02,1,1,-0.5400,-1.0800,150226.8556,0,
2026-09-01 12:04:49,ARBUSDC,mom30_l,long,0.7000,3.0000,3.0000,1.0000,0.1105,0.1094,stop,-1.000,0.040,0.00002,0.02,1,1,-1.0400,-2.0800,163829.4321,0,
2026-09-01 12:04:50,ARBUSDC,mom1h_l,long,1.0000,3.5000,4.0000,1.2000,0.1099,0.1086,stop,-1.200,0.040,0.00002,0.02,1,1,-1.2400,-2.4800,163117.9849,0,0.4933
2026-09-01 12:05:42,UNIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,5.3988,5.3718,tp,0.500,0.000,-0.00005,0.04,1,1,0.5000,1.0001,8645.0000,1,
2026-09-01 12:05:46,NEARUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,1.9860,1.9919,stop,-0.300,0.040,-0.00007,0.06,1,1,-0.3399,-0.6799,71523.1000,1,
2026-09-01 12:05:54,FILUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.6915,0.6936,stop,-0.300,0.040,0.00002,0.06,1,1,-0.3400,-0.6800,62418.5111,1,
2026-09-01 12:05:54,FILUSDC,adapt_s,short,0.1782,0.1782,0.5939,0.3712,0.6913,0.6939,stop,-0.371,0.040,0.00002,0.06,1,1,-0.4112,-0.8224,51754.8222,1,
2026-09-01 12:06:07,ARBUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,0.1092,0.1089,stop,-0.300,0.040,0.00002,0.02,1,0,-0.3400,-0.6800,83519.4500,1,
2026-09-01 12:06:08,ARBUSDC,mom15_l,long,0.5000,2.5000,2.0000,0.8000,0.1092,0.1083,stop,-0.800,0.040,0.00005,0.04,1,1,-0.8400,-1.6801,180122.9108,0,
2026-09-01 12:07:14,TRUMPUSDC,adapt_s,short,0.3358,0.3358,1.1193,0.6996,2.4211,2.3940,tp,1.119,0.000,-0.00034,0.54,1,1,1.1196,2.2393,33652.7721,1,
2026-09-01 12:07:20,BOMEUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,0.0009,0.0009,stop,-0.300,0.040,0.00018,0.29,1,1,-0.3402,-0.6804,14886732.8276,1,
2026-09-01 12:08:13,WIFUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.1984,0.1974,tp,0.500,0.000,-0.00026,0.41,1,1,0.5003,1.0005,15812.2857,1,
2026-09-01 12:14:13,CRVUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.3585,0.3596,stop,-0.300,0.040,-0.00000,0.00,1,1,-0.3400,-0.6800,45114.2556,1,
2026-09-01 12:14:14,CRVUSDC,mom_s,short,0.3000,1.0000,0.8000,0.5000,0.3570,0.3588,stop,-0.500,0.040,-0.00088,0.70,1,1,-0.5391,-1.0782,94705.7286,1,
2026-09-01 12:16:00,ORDIUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,3.9441,3.9638,tp,0.500,0.000,0.00022,0.36,1,1,0.4998,0.9996,670.9429,1,
2026-09-01 12:16:02,WLDUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.3679,0.3698,stop,-0.500,0.040,-0.00084,0.69,1,1,-0.5392,-1.0783,44008.5111,1,
2026-09-01 12:17:07,TRUMPUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,2.3972,2.4092,tp,0.500,0.000,0.00016,0.26,1,1,0.4998,0.9997,3638.0775,1,
2026-09-01 12:18:02,TIAUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.3405,0.3415,stop,-0.300,0.040,-0.00002,0.03,1,1,-0.3400,-0.6800,40660.2632,1,
2026-09-01 12:18:02,TIAUSDC,adapt_s,short,0.3260,0.3260,1.0868,0.6793,0.3391,0.3414,stop,-0.679,0.040,-0.00041,0.75,1,1,-0.7189,-1.4377,30654.5556,1,
2026-09-01 12:18:02,TIAUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.3396,0.3413,stop,-0.500,0.040,-0.00037,0.69,1,1,-0.5396,-1.0793,41430.4000,1,
2026-09-01 12:18:12,TRUMPUSDC,deep_l,long,0.2000,0.5000,0.6000,0.5000,2.3960,2.4103,tp,0.600,0.000,0.00011,0.18,1,1,0.5999,1.1998,34514.8666,1,
2026-09-01 12:19:58,NEARUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,1.9919,1.9800,tp,0.600,0.000,-0.00030,0.24,1,1,0.6003,1.2006,95308.6154,1,
2026-09-01 12:20:16,CRVUSDC,adapt_s,short,0.5788,0.5788,1.9294,1.2059,0.3565,0.3567,timeout,-0.070,0.040,-0.00100,0.80,1,1,-0.1087,-0.2175,94728.0455,1,
2026-09-01 12:23:53,ETHUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,2475.8719,2474.1600,timeout,0.069,0.040,-0.00091,0.81,1,1,0.0300,0.0601,59.8613,1,
2026-09-01 12:23:56,SOLUSDC,adapt_s,short,0.1433,0.1433,0.4778,0.2986,103.8687,103.9200,timeout,-0.049,0.040,-0.00032,0.81,1,1,-0.0891,-0.1782,3574.8650,1,
2026-09-01 12:24:02,LINKUSDC,adapt_s,short,0.1793,0.1793,0.5977,0.3736,11.4485,11.4580,timeout,-0.083,0.040,-0.00101,0.81,1,0,-0.1220,-0.2441,1466.3600,1,
2026-09-01 12:24:04,ADAUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.2012,0.2010,timeout,0.100,0.040,-0.00050,0.81,1,1,0.0604,0.1208,1506938.1873,1,
2026-09-01 12:24:06,LTCUSDC,adapt_s,short,0.1175,0.1175,0.3916,0.2448,48.8874,48.9000,timeout,-0.026,0.040,-0.00101,0.81,1,1,-0.0648,-0.1297,190.4997,1,
2026-09-01 12:24:13,SUIUSDC,adapt_s,short,0.2246,0.2246,0.7486,0.4678,0.7343,0.7310,timeout,0.456,0.040,-0.00056,0.81,1,1,0.4161,0.8322,61597.0250,1,
2026-09-01 12:24:14,SUIUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.7341,0.7310,timeout,0.416,0.040,-0.00056,0.81,1,1,0.3763,0.7527,101494.4857,1,
